,Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price
0,Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,72000,CNG,Manual,First,998,58.16,5,26.6,1.75
1,Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,41000,Diesel,Manual,First,1582,126.2,5,19.67,12.5
2,Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,1199,88.7,5,18.2,4.5
3,Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,1248,88.76,7,20.77,6
4,Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,1968,140.8,5,15.2,17.74
5,Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,814,55.2,5,21.1,2.35
6,Nissan Micra Diesel XV,Nissan,Jaipur,2013,86999,Diesel,Manual,First,1461,63.1,5,23.08,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,2755,171.5,8,11.36,17.5
8,Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,64430,Diesel,Manual,First,1598,103.6,5,20.54,5.2
9,Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,65932,Diesel,Manual,Second,1248,74,5,22.3,1.95
10,Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,1462,103.25,5,21.56,9.95
11,Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,60000,Petrol,Automatic,First,1497,116.3,5,16.8,4.49
12,Maruti Swift VDI BSIV,Maruti,Jaipur,2015,64424,Diesel,Manual,First,1248,74,5,25.2,5.6
13,Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,72000,Diesel,Automatic,First,2179,187.7,5,12.7,27
14,Land Rover Freelander 2 TD4 SE,Land,Pune,2012,85000,Diesel,Automatic,Second,2179,115,5,0,17.5
15,Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,2477,175.56,7,13.5,15
16,Honda Amaze S i-Dtech,Honda,Kochi,2016,58950,Diesel,Manual,First,1498,98.6,5,25.8,5.4
17,Maruti Swift DDiS VDI,Maruti,Jaipur,2017,25000,Diesel,Manual,First,1248,74,5,28.4,5.99
18,Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,77469,Diesel,Manual,First,1461,83.8,5,20.45,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,MercedesBenz,Bangalore,2014,78500,Diesel,Automatic,First,2143,167.62,5,14.84,28
20,BMW 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,1995,190,5,22.69,18.55
21,Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,1248,88.5,5,23.65,8.25
22,Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,55985,Petrol,Automatic,First,1984,177.01,5,13.53,23.5
23,Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,1197,80,5,18.5,1.87
24,Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,1598,103.6,5,14.4,2.85
25,Honda City Corporate Edition,Honda,Mumbai,2012,51920,Petrol,Manual,First,1497,116.3,5,16.8,4.25
26,Nissan Micra Diesel XV,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,1461,63.1,5,23.08,4.25
27,Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,998,67.1,5,20.92,2.75
28,Honda WRV i-VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,1199,88.7,5,17.5,9.9
29,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth,2494,102,7,12.8,4
30,Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,62000,Diesel,Manual,First,1461,108.45,5,19.01,7.75
31,Toyota Corolla Altis G,Toyota,Delhi,2012,87615,Petrol,Manual,First,1798,138.1,5,14.53,6.75
32,Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,2696,184,7,11.18,12.5
33,Audi A6 2.7 TDI,Audi,Kolkata,2010,35000,Diesel,Automatic,First,2698,179.5,5,12.4,11.5
34,Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,1598,103.5,5,16.09,6.98
35,Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,1061,64,5,14,1.85
36,Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,1248,88.5,5,24.3,8.63
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,52000,Petrol,Manual,First,1198,82,5,18.15,4.85
38,Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Pune,2013,85000,Diesel,Automatic,First,2987,254.8,5,11.74,28
39,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,1199,73.9,5,22.07,5
40,Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,796,46.3,5,19.7,1.25
41,Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,624,37.5,4,25.4,1.53
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,1198,77,6,25.32,5.58
43,Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,1197,82.9,5,18.5,4.74
